subjek,final_text,label,status,confidence
manual_labeler,"""Toyota Vios Gen 4:
🤫ssssssttt!!!! (suara diam)",positif,manual,1.0
manual_labeler,Vios adalah versi sedan dari Veloz krn dasbornya mirip Veloz.,positif,manual,1.0
manual_labeler,Radius putarnya masih boros gak ya...kayak vios gen 3. Pe er banget klo mau putar arah,negatif,manual,1.0
manual_labeler,"Iya, mungkin tahun ini atau tahun depan",negatif,manual,1.0
manual_labeler,"@HAEMEN4  ngapain beli toyota bro, mending beli raize",negatif,manual,1.0
manual_labeler,Nah tampilan 👌,positif,manual,1.0
manual_labeler,Vios yang paling laku vios gen 1 dan gen 2,positif,manual,1.0
manual_labeler,Keren nie sihh,positif,manual,1.0
manual_labeler,Civic versi toyota hahahha,negatif,manual,1.0
manual_labeler,Warna itemnya pasti cakep,positif,manual,1.0
manual_labeler,"kan 1 mesin buat rame2, avanza, veloz, xenia, rush, terios dll",netral,manual,1.0
manual_labeler,JD pengen ganti Ayla dengan vios,positif,manual,1.0
manual_labeler,Vios bukan lagi taxi 😎,positif,manual,1.0
manual_labeler,Udah bagus gini masih ada aja yg malu pake. Cuma gegara cap mobil taksi. Pola pikir yg nyeleneh,positif,manual,1.0
manual_labeler,Cakep warna hitamnya😍,positif,manual,1.0
manual_labeler,"Ngak ada fog Lamp depan dan belakang......... 😒😒😒, Jepang emang kadang2, Makin canggih sektor lain, Yg existing malah di hilangkan... 😒😒😒",negatif,manual,1.0
manual_labeler,"SEMOGA TAUN DEPAN BISA KEBELI MOBIL INI,AMIN",positif,manual,1.0
manual_labeler,Suhu ... mo tanya Toyota Vios AT atau CVT y ...,netral,manual,1.0
manual_labeler,Ngeri ngeri sedap ga sih kl beli ini eh trs dipake Taxi lgi 😢,negatif,manual,1.0
manual_labeler,Kalah power aja kali ya dgn Bu Siti,negatif,manual,1.0
manual_labeler,"jadi keren vios sekarang ya, model desainnya lebih ke eropa dan mirip bgt sama Lexus",positif,manual,1.0
manual_labeler,"""Tipe E saja masih menggoda sekali, salah satunya adalah pedal kopling yang ada di sebelah kiri, pedal kegemaran yang sering diinjak setelah pedal gas

Inilah yang paling kusukai dari Toyota Vios Tipe E walaupun bukan varian yang paling dipakai sebagai armada taksi tapi sangat menggoda untuk dikendarai sendiri bahkan orang lain sekalipun",positif,manual,1.0
manual_labeler,Harga ny brp baru ny itu bg?,netral,manual,1.0
manual_labeler,Keren tapi sayangnya untuk taxi,positif,manual,1.0
manual_labeler,Ok jugak mobilnya mantap,positif,manual,1.0
manual_labeler,Avanza gepenk😂,negatif,manual,1.0
manual_labeler,"""Lompatan jauh ya utk Vios kekinian
👍👍",positif,manual,1.0
manual_labeler,"Depan Camry, samping & belakang BMW, interior Mazda, velgnya BMW banget. Cmiiw",negatif,manual,1.0
manual_labeler,wahhh kece sihh keren parahh tinggal ganti logo lexus jg org percaya wkwkwkw,positif,manual,1.0
manual_labeler,"padahal naksir sama vios gen4 ini, pas liat reviewnya kecewa karna OM MOBI MANA ?!!!! OM MOBI REVIEW ULANG LAH PLEASE 🙏",positif,manual,1.0
manual_labeler,"Malah downgrade ini, bahan daihatsu. Banyak common part sama xenia rocky",negatif,manual,1.0
manual_labeler,Harga..,netral,manual,1.0
manual_labeler,Tetep ajah Vios mobil taxi yang berimbang d masyrkt,negatif,manual,1.0
manual_labeler,Anying toyota race mobil paan tuh,negatif,manual,1.0
manual_labeler,Niru honda new BRV haha,negatif,manual,1.0
manual_labeler,tetap beraroma taxi,negatif,manual,1.0
manual_labeler,"""vios  makin mengembangkqn fitur2 nya.
yg bagus2  ya..",positif,manual,1.0
manual_labeler,Ini kenapa headrest belakang jadi paten? Down grade nih...,negatif,manual,1.0
manual_labeler,Naahh...begini seharusnya Vios 👍👍,positif,manual,1.0
manual_labeler,Yaah kita tau Toyota males berinovasi dan harga mkin Overprice. Semoga dgn hadirnya wuling bisa bkin mereka buka mata,negatif,manual,1.0
manual_labeler,Design luarannya lebih uncle2,negatif,manual,1.0
manual_labeler,"""kok boros ya 11.2 Km/L. padahal CVT.

Vios Gen 1 Saya selalu 15 Km/L.",negatif,manual,1.0
manual_labeler,Keren,positif,manual,1.0
manual_labeler,Fake taxy,negatif,manual,1.0
manual_labeler,"MANTAP, Lawa",positif,manual,1.0
manual_labeler,Kekurangannya di bagian belakang sempit,negatif,manual,1.0
manual_labeler,Aku pilih Vios sih kalo dari Desain,positif,manual,1.0
manual_labeler,Pertanyaan: Siapakah yang menyalakan mesin dan lampunya?,netral,manual,1.0
manual_labeler,Klau ada panoramic sunroff.keren nih vios,positif,manual,1.0
manual_labeler,Pajaknya kisaran brp ya,netral,manual,1.0
manual_labeler,Perfect 🫰🫰🫰🫰,positif,manual,1.0
manual_labeler,"Avanza,vios kesan taxi",negatif,manual,1.0
